Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
North,2023-04-19,125949.35,2646,2.44
South,2023-12-03,241909.4,2687,82.31
East,2023-03-08,388482.02,3107,57.94
West,2023-06-12,104061.75,4903,69.13
North,2023-09-26,212979.61,3122,29.13
South,2023-06-03,235829.0,4631,37.9
East,2023-11-23,291607.68,4228,59.96
West,2023-09-13,137222.14,4916,40.54
North,2023-02-04,478552.62,4673,4.23
South,2023-06-07,290341.95,4035,38.31
East,2023-05-19,340679.9,2169,86.28
West,2023-02-12,107526.13,1056,56.08
North,2023-05-17,422732.61,2830,22.11
South,2023-05-11,421994.58,1996,37.26
East,2023-12-04,341497.14,3060,12.85
West,2023-11-10,377133.13,3588,71.34
North,2023-01-08,126307.27,3370,97.3
South,2023-01-22,218159.25,2719,79.06
East,2023-01-21,213686.94,3240,19.25
West,2023-02-26,310660.09,4690,70.61
North,2023-02-23,124034.77,1910,19.56
South,2023-10-11,423931.52,4802,5.87
East,2023-04-10,498852.22,1232,80.25
West,2023-06-09,371868.34,3898,52.17
North,2023-08-18,185724.84,4768,54.32
South,2023-08-17,277320.66,1887,30.33
East,2023-09-16,433588.77,3306,55.25
West,2023-06-29,166851.69,4347,43.98
North,2023-09-04,135422.77,2985,95.52
South,2023-06-20,457486.93,1767,0.83
East,2023-06-19,142821.79,1989,11.5
West,2023-07-28,183908.05,4515,31.73
North,2023-10-22,312144.08,1608,13.07
South,2023-05-18,364554.32,3410,19.6
East,2023-11-30,343927.73,3866,6.1
West,2023-01-11,107036.84,4930,87.55
North,2023-10-11,215749.06,3119,30.46
South,2023-05-03,413362.7,4180,95.68
East,2023-12-15,201060.7,2825,29.38
West,2023-02-06,469074.8,4956,2.53
North,2023-02-07,121156.4,4030,96.11
South,2023-07-18,306599.91,3260,59.39
East,2023-10-09,486765.81,2260,9.01
West,2023-01-29,306964.92,3267,81.93
North,2023-02-21,366519.8,4887,1.48
South,2023-07-18,195700.38,2880,68.14
East,2023-06-20,461858.12,2812,93.34
West,2023-09-07,245589.4,2583,21.05
North,2023-09-17,173851.64,3043,5.6
South,2023-06-26,193614.76,1742,61.29
East,2023-09-29,106610.35,3871,79.63
West,2023-08-13,175191.08,4496,51.17
North,2023-01-09,497754.36,2687,41.26
South,2023-02-13,356951.98,1399,97.56
East,2023-08-02,458825.28,3377,65.65
West,2023-07-14,353536.95,3537,5.23
North,2023-01-12,228098.77,1403,80.27
South,2023-01-25,443596.65,3903,66.1
East,2023-11-05,401151.73,3991,28.51
West,2023-05-05,234796.38,3947,42.78
North,2023-11-05,349392.15,4404,6.03
South,2023-12-26,246009.71,1126,76.22
East,2023-07-25,217322.69,3199,60.4
West,2023-06-08,440035.19,3253,57.62
North,2023-07-27,489945.63,3938,33.59
South,2023-02-23,392724.85,3877,91.84
East,2023-04-17,350353.71,4533,17.72
West,2023-07-10,236938.04,3846,64.16
North,2023-08-26,229621.17,2369,48.58
South,2023-10-12,310411.14,4975,55.06
East,2023-05-08,175573.4,4994,80.85
West,2023-09-28,163827.21,1031,88.58
North,2023-07-09,251326.46,1694,37.06
South,2023-10-27,308085.69,4672,85.28
East,2023-01-25,185416.78,3387,1.71
West,2023-12-27,247546.21,1794,51.85
North,2023-06-20,207529.99,3891,66.37
South,2023-03-10,198423.88,3641,70.99
East,2023-08-13,241153.72,4415,47.39
West,2023-05-05,326025.19,1950,38.69
North,2023-04-06,322083.49,1396,45.05
South,2023-03-13,417002.92,1863,27.97
East,2023-06-23,487207.59,1594,98.03
West,2023-05-01,303292.61,3716,13.03
North,2023-05-10,273733.5,4612,0.76
South,2023-06-21,335562.71,2287,18.56
East,2023-11-12,399656.21,3607,56.9
West,2023-04-22,494486.04,3001,38.26
North,2023-12-10,193307.73,1018,36.49
South,2023-11-28,265615.87,4607,30.47
East,2023-10-01,239399.36,3834,3.48
West,2023-05-03,215496.06,1287,40.9
North,2023-06-11,447591.26,2465,28.92
South,2023-11-20,283608.36,3817,76.46
East,2023-08-27,286249.59,4656,36.34
West,2023-08-26,480638.53,1557,9.46
North,2023-04-14,387160.75,4183,35.84
South,2023-11-10,355220.14,3752,37.63
East,2023-05-05,232423.81,1618,12.46
West,2023-05-13,318701.26,2993,67.3
North,2023-02-18,172376.4,4633,57.47
South,2023-06-19,117226.36,2583,3.31
East,2023-10-28,167049.8,3965,83.06
West,2023-04-06,457468.3,2971,36.1
North,2023-11-12,235453.81,2419,43.6
South,2023-04-23,139434.17,4242,59.45
East,2023-03-22,248785.99,3574,22.98
West,2023-03-22,458447.12,4352,81.91
North,2023-03-05,421899.44,4588,39.79
South,2023-03-21,487108.9,3293,70.16
East,2023-12-30,372633.61,2276,88.14
West,2023-03-25,145538.91,4421,31.88
North,2023-02-28,112246.8,2991,75.26
South,2023-04-02,442388.08,3631,8.41
East,2023-05-22,265528.15,2497,5.68
West,2023-04-30,218804.3,2847,2.15
North,2023-10-03,365352.6,3479,70.19
South,2023-09-13,492490.66,1218,0.07
East,2023-08-31,402107.27,1818,8.09
West,2023-12-17,442707.89,1285,17.85
North,2023-05-26,135241.63,2830,77.06
South,2023-08-17,117178.69,4250,54.88
East,2023-12-27,391135.11,4364,46.1
West,2023-05-05,221366.66,4457,36.07
North,2023-01-03,101846.63,4110,46.54
South,2023-06-26,111409.73,3384,23.87
East,2023-12-23,478372.99,3316,31.23
West,2023-01-27,264149.81,1712,68.81
North,2023-01-10,456339.53,2776,18.22
South,2023-12-12,116319.96,4599,55.02
East,2023-12-19,104509.7,2578,33.67
West,2023-08-13,419795.55,2951,29.27
North,2023-01-10,303776.85,2923,41.49
South,2023-01-24,329353.41,2431,73.82
East,2023-08-07,426172.87,2556,31.47
West,2023-06-19,119319.2,3921,13.75
North,2023-05-18,306413.84,4920,94.37
South,2023-10-24,253050.74,3396,25.77
East,2023-10-05,432219.29,3817,93.18
West,2023-06-25,342204.98,2764,21.02
North,2023-04-09,457469.68,2578,10.35
South,2023-09-27,427410.0,4489,63.21
East,2023-11-16,124814.25,1591,68.48
West,2023-06-17,204465.65,3675,26.96
North,2023-02-09,433374.27,4018,8.17
South,2023-11-24,271212.66,3085,84.82
East,2023-04-27,305652.93,4606,16.56
West,2023-10-08,145833.44,2702,82.98
North,2023-08-29,484934.33,3339,63.93
South,2023-10-11,146966.17,3086,32.21
East,2023-11-15,244005.42,2940,1.15
West,2023-01-25,125055.37,3706,57.61
North,2023-12-08,256046.39,3599,5.76
South,2023-12-21,435829.39,3432,72.89
East,2023-08-13,200645.37,3444,70.8
West,2023-08-12,103745.04,1974,54.23
North,2023-09-28,431348.19,1847,38.54
South,2023-03-25,189168.4,4069,6.52
East,2023-01-01,192564.14,2508,56.18
West,2023-10-26,422477.66,2654,79.63
North,2023-02-18,471672.24,3453,95.87
South,2023-06-25,417398.88,2071,89.79
East,2023-06-16,107888.83,1021,46.52
West,2023-06-01,198242.74,3612,91.55
North,2023-03-06,243468.06,4398,54.64
South,2023-01-10,126464.15,3555,27.92
East,2023-02-15,337398.03,1771,94.03
West,2023-03-15,243515.17,1049,38.04
North,2023-01-15,130925.28,2783,5.88
South,2023-12-20,358138.93,2819,48.06
East,2023-05-10,179238.67,1498,36.24
West,2023-12-27,112650.98,4440,69.99
North,2023-11-15,370796.22,2879,62.03
South,2023-07-02,474372.4,4733,69.29
East,2023-11-03,250236.18,3909,22.61
West,2023-11-02,261531.67,4153,57.16
North,2023-03-25,276432.66,1597,95.92
South,2023-07-31,446702.83,3219,29.2
East,2023-10-10,266775.93,1784,84.01
West,2023-05-21,324606.33,4530,44.99
North,2023-07-13,251923.19,2287,82.12
South,2023-02-23,364128.08,3333,12.84
East,2023-08-25,439448.4,3798,71.75
West,2023-11-06,125452.12,1160,75.83
North,2023-07-29,285267.01,4047,61.7
South,2023-04-01,161640.64,4519,67.98
East,2023-02-04,297835.18,3246,40.99
West,2023-07-05,306493.01,1437,68.55
North,2023-07-01,126620.13,2015,91.27
South,2023-12-10,132413.95,2883,72.58
East,2023-02-07,174162.24,1246,80.34
West,2023-02-15,431381.98,1108,38.03
North,2023-04-08,205774.45,3666,81.67
South,2023-11-21,428080.81,1642,67.14
East,2023-03-09,120812.11,4202,23.8
West,2023-07-26,446658.29,1533,94.04
North,2023-07-31,426004.99,1671,67.2
South,2023-08-31,389465.74,4740,13.02
East,2023-10-31,382027.78,4031,11.9
West,2023-07-15,233287.33,1744,78.71
North,2023-07-12,323689.89,4250,47.81
South,2023-05-01,329693.28,1462,72.04
East,2023-02-20,438158.63,3897,38.9
West,2023-11-30,436863.58,2799,69.89
North,2023-03-10,233908.3,3082,69.01
South,2023-12-05,458163.69,4997,79.83
East,2023-06-11,297097.26,1334,60.85
West,2023-11-06,274929.24,2425,34.12
North,2023-02-04,458979.0,4263,69.37
South,2023-05-08,401581.16,3834,48.92
East,2023-02-26,450135.03,3330,45.8
West,2023-05-28,437658.86,4319,1.01
North,2023-01-14,231546.95,4267,59.61
South,2023-06-16,171512.66,1220,12.9
East,2023-07-14,241098.95,3300,57.81
West,2023-09-08,326214.34,3367,36.05
North,2023-10-24,415711.75,2637,22.44
South,2023-05-03,108150.51,1452,96.09
East,2023-07-12,186519.83,2416,57.96
West,2023-12-23,312017.81,4116,44.74
North,2023-11-29,193965.89,2875,73.35
South,2023-09-21,419134.64,1431,89.31
East,2023-12-14,203375.47,2928,65.81
West,2023-03-10,112609.27,1503,78.3
North,2023-06-03,383323.01,4119,79.43
South,2023-12-03,393836.09,1048,91.88
East,2023-10-11,302810.05,3915,12.01
West,2023-08-27,399456.33,3771,83.86
North,2023-08-03,145603.18,2125,3.96
South,2023-07-09,255949.03,3970,60.76
East,2023-04-20,223913.98,1824,67.34
West,2023-11-27,141612.08,4763,88.81
North,2023-04-21,409284.45,2548,51.86
South,2023-06-01,162643.13,2171,64.75
East,2023-06-25,309876.28,3712,63.46
West,2023-09-01,375026.17,2529,24.94
North,2023-04-18,291058.97,4997,81.65
South,2024-01-01,462357.98,2122,22.9
East,2023-03-26,289741.26,2121,71.76
West,2023-12-16,489289.09,4146,37.68
North,2023-09-01,349846.71,3992,16.86
South,2023-09-04,245723.49,2451,77.47
East,2023-02-25,154910.3,2817,5.27
West,2023-02-04,249697.98,2215,34.1
North,2023-05-05,253195.0,4659,0.5
South,2023-04-11,375572.23,3558,49.58
East,2023-09-04,307574.18,2373,47.14
West,2023-03-30,260439.7,1549,99.56
North,2023-02-21,353628.92,4951,31.49
South,2023-08-12,489838.67,1321,7.02
East,2023-08-09,400103.16,1642,29.11
West,2023-01-02,149501.52,1942,83.58
North,2023-02-03,452648.24,1179,22.73
South,2023-11-17,339842.71,1410,45.64
East,2023-11-09,402730.22,4876,48.26
West,2023-10-29,420504.81,3895,3.42
North,2023-09-13,490915.91,3591,83.37
South,2023-04-11,283157.4,3359,16.05
East,2023-05-31,317414.41,3665,88.08
West,2023-02-23,266415.81,4608,70.5
North,2023-05-21,368135.24,2353,4.8
South,2023-05-18,426769.01,4268,48.3
East,2023-09-27,138852.7,3607,22.34
West,2023-05-29,318000.36,1813,46.45
North,2023-08-14,438718.25,1236,94.06
South,2023-12-18,484988.29,4234,15.72
East,2023-04-24,381183.93,2242,85.82
West,2023-11-04,310879.71,1405,50.83
North,2023-01-08,490311.64,1339,75.87
South,2023-11-05,376792.02,1821,95.7
East,2023-12-21,337778.12,2492,19.85
West,2023-10-09,464573.98,4382,11.35
North,2023-09-01,456903.2,2631,89.68
South,2023-11-13,168026.04,2107,37.7
East,2023-03-22,306470.61,1775,1.53
West,2023-06-27,234212.19,1001,56.9
North,2023-05-07,292951.48,4758,96.13
South,2023-07-23,304372.0,1394,36.4
East,2023-01-19,274316.79,1014,10.43
West,2023-09-14,209603.62,1645,70.12
North,2023-03-20,221846.37,4204,17.16
South,2023-11-01,123371.32,2307,98.02
East,2023-10-01,424811.75,4486,29.17
West,2023-10-11,208945.01,4095,14.88
North,2023-07-25,313623.61,2426,32.05
South,2023-07-24,132861.94,4257,15.63
East,2023-06-06,201000.81,2837,68.56
West,2023-02-21,457862.51,3287,65.29
North,2023-01-29,435162.27,1015,85.93
South,2023-07-12,351073.66,3791,84.22
East,2023-02-23,256121.6,3146,40.66
West,2023-03-20,143234.97,4206,12.06
North,2023-05-12,231362.14,3930,12.61
South,2023-08-25,282940.75,3332,20.63
East,2023-06-05,435700.74,2975,13.72
West,2023-10-04,103950.75,4478,89.58
North,2023-11-06,244036.54,4568,84.44
South,2023-04-07,144721.96,1835,34.09
East,2023-02-28,396694.42,3001,12.7
West,2023-05-03,443200.06,4166,12.72
North,2023-06-15,207995.29,2146,94.79
South,2023-10-07,472982.53,4094,5.42
East,2023-08-15,335150.38,2200,33.93
West,2023-06-06,234249.08,1189,55.42
North,2023-10-09,436266.2,4938,34.49
South,2023-07-08,264309.04,3216,52.95
East,2023-03-13,293822.85,1051,29.72
West,2023-04-28,138347.47,1841,65.63
North,2023-06-19,383447.85,3817,81.24
South,2023-05-01,382126.76,3625,30.28
East,2023-08-09,362422.09,4640,11.72
West,2023-02-20,155954.42,2001,46.72
North,2023-04-02,364102.75,2196,66.86
South,2023-01-17,252579.31,4502,41.54
East,2023-04-08,239735.33,2153,30.1
West,2023-09-26,259359.3,1713,82.92
North,2023-08-05,440734.43,4962,29.31
South,2023-09-28,486245.26,4977,28.39
East,2023-09-05,236162.02,4952,16.22
West,2023-07-26,487833.59,1553,34.8
North,2023-10-25,151605.95,4313,14.86
South,2023-05-30,215147.86,1965,14.39
East,2023-08-01,177608.28,2292,39.96
West,2023-11-26,238898.79,2169,4.08
North,2023-08-26,112676.89,1535,31.82
South,2023-01-27,478286.89,2397,23.83
East,2023-06-11,499501.68,1781,16.79
West,2023-01-30,494139.26,2843,6.77
North,2023-03-27,367354.7,1625,2.28
South,2023-07-30,221339.11,4746,50.81
East,2023-07-27,406128.28,2329,78.64
West,2023-11-09,494862.82,3331,51.75
North,2023-12-05,313605.9,1203,35.21
South,2023-01-23,283950.84,1819,58.0
East,2023-11-26,178739.18,2593,84.43
West,2023-12-31,368276.25,1308,63.78
North,2023-03-20,399768.68,2972,88.67
South,2023-03-25,316307.67,4821,36.62
East,2023-04-18,188849.21,4755,39.8
West,2023-12-21,359909.11,4484,14.53
North,2023-10-14,337490.7,3046,12.9
South,2023-12-22,127767.52,4975,77.22
East,2023-12-15,103810.24,3092,51.36
West,2023-10-12,196514.73,4178,30.65
North,2023-08-18,418470.15,1962,25.36
South,2023-08-19,192919.85,3088,2.63
East,2023-06-08,290605.35,4283,79.52
West,2023-04-26,283424.94,1971,96.16
North,2023-11-14,163321.69,1644,37.88
South,2023-07-06,215332.08,1014,73.04
East,2023-01-04,468507.26,1848,29.01
West,2023-02-25,414833.76,3588,86.65
North,2023-01-04,130778.06,2772,57.35
South,2023-09-16,281138.88,3477,12.46
East,2023-11-08,445813.07,1421,85.15
West,2023-12-16,258788.53,2099,8.01
North,2023-05-11,353296.18,3500,83.33
South,2023-12-16,349789.55,3407,41.51
East,2023-01-30,234625.42,4250,76.75
West,2023-03-31,393527.99,3490,19.22
North,2023-08-15,102983.55,3757,14.95
South,2023-09-12,341519.25,3063,53.05
East,2023-04-26,314524.7,3509,14.84
West,2023-10-10,184918.27,4320,35.81
North,2023-11-15,132881.4,3704,80.76
South,2023-07-23,173682.39,2994,37.94
East,2023-11-02,398852.96,1549,95.61
West,2023-12-29,296849.0,4814,14.56
North,2023-08-21,349023.59,2688,17.14
South,2023-05-14,268930.53,2256,40.63
East,2023-07-08,222077.8,3896,52.76
West,2023-01-03,470253.43,1803,38.6
North,2023-06-11,392817.14,1355,44.84
South,2023-01-18,193747.71,3003,14.59
East,2023-01-10,383689.3,3784,90.63
West,2023-12-17,213292.37,2899,88.07
North,2023-08-14,100853.85,2769,64.43
South,2023-01-23,178156.88,4311,65.06
East,2023-06-18,312490.85,4516,10.72
West,2023-07-30,193239.0,2352,74.84
North,2023-03-30,429194.73,4964,15.89
South,2023-07-22,151639.31,4828,32.1
East,2023-04-23,203301.94,2697,19.95
West,2023-12-13,338954.71,4601,12.83
North,2023-12-30,324952.22,4767,5.06
South,2023-07-25,120594.02,4999,68.47
East,2023-07-13,174146.61,4012,82.68
West,2023-06-23,168276.6,4384,14.92
North,2023-12-10,368027.73,2477,5.57
South,2023-01-12,309100.24,4522,63.29
East,2023-03-09,354556.91,2278,67.43
West,2023-05-04,430941.06,4382,57.33
North,2023-03-08,483730.88,2568,67.58
South,2023-09-26,418652.34,4666,94.08
East,2023-10-16,143977.48,2756,42.99
West,2023-07-01,341283.51,3564,15.04
North,2023-04-06,413964.0,3170,41.39
South,2023-10-11,442482.63,3405,79.37
East,2023-04-24,386698.58,2470,13.24
West,2023-08-30,206438.34,1965,3.85
North,2023-08-10,209613.94,4656,35.78
South,2023-11-05,218746.51,3699,63.56
East,2023-10-15,468227.55,1552,90.24
West,2023-11-23,260477.13,3039,84.45
North,2023-08-28,453737.21,4394,15.72
South,2023-12-31,318345.66,4435,30.58
East,2023-01-04,252906.5,2780,70.52
West,2023-09-05,282818.97,1758,35.07
North,2023-07-23,433256.96,2924,97.51
South,2023-09-07,146083.83,1562,66.89
East,2023-01-01,154867.32,3761,34.0
West,2023-12-01,114804.82,3154,37.94
North,2023-11-02,118716.58,4520,19.92
South,2023-09-26,239181.32,2688,72.55
East,2023-08-02,391379.19,1592,35.5
West,2023-07-10,416108.32,4348,31.57
North,2023-07-03,270218.73,3573,95.24
South,2023-08-25,248596.14,3366,85.85
East,2023-05-16,367304.86,4568,78.6
West,2023-03-28,432603.07,1099,92.29
North,2023-08-19,399210.93,2399,65.59
South,2023-10-01,395152.61,1970,11.09
East,2023-12-25,108628.62,3246,34.74
West,2023-08-11,143964.85,3023,36.24
North,2023-08-23,350582.97,4600,59.79
South,2023-02-16,411928.63,3662,22.36
East,2023-03-30,127110.84,3890,74.66
West,2023-02-23,352552.25,3919,49.28
North,2023-12-19,167511.93,1902,12.85
South,2023-10-27,348659.56,3858,13.01
East,2023-10-16,371124.95,1638,39.61
West,2023-09-03,484123.12,3823,48.91
North,2023-10-29,278811.59,3724,87.9
South,2023-08-25,126585.97,3471,65.81
East,2023-11-13,438631.05,1187,24.55
West,2023-12-15,252887.57,1926,52.95
North,2023-04-22,482294.74,4499,93.96
South,2023-04-21,406459.52,4387,98.95
East,2023-08-30,333919.4,2689,49.44
West,2023-09-09,201475.59,1692,21.13
North,2023-11-03,222128.0,2108,37.26
South,2023-04-03,261900.04,2574,89.94
East,2023-10-31,189702.7,4959,62.12
West,2023-06-10,100803.44,3128,6.32
North,2023-08-28,144184.8,3865,45.1
South,2023-09-05,314587.52,1299,70.64
East,2023-01-30,153059.11,4104,27.85
West,2023-01-09,331176.26,1406,87.91
North,2023-10-21,224475.85,3908,24.78
South,2023-12-08,399711.8,1007,4.49
East,2023-05-01,428474.95,4227,70.76
West,2023-02-10,155935.13,1814,27.54
North,2023-05-18,249751.04,4004,43.55
South,2023-12-11,144218.04,1867,17.18
East,2023-05-05,464992.9,1857,3.31
West,2023-03-08,394706.24,1810,87.4
North,2023-11-27,236399.22,1479,32.86
South,2023-09-20,122871.91,4884,16.7
East,2023-05-19,154108.5,2896,48.99
West,2023-10-11,106035.97,1197,36.94
North,2023-12-13,130611.27,1663,12.25
South,2023-04-27,454227.73,1692,9.51
East,2023-04-05,398235.35,4106,76.34
West,2023-08-19,292749.59,1765,37.54
North,2023-11-06,416719.58,3147,29.59
South,2023-06-04,455637.09,1816,12.78
East,2023-12-01,342167.04,3117,21.35
West,2023-03-27,118636.9,2729,25.05
North,2023-01-27,262883.98,3461,59.03
South,2023-04-06,479495.55,3295,24.24
East,2023-11-01,406122.04,4969,22.53
West,2023-11-07,203877.63,4484,83.07
North,2023-01-11,328557.93,2090,98.73
South,2023-07-25,299882.5,3345,69.83
East,2023-09-16,301120.24,1061,19.48
West,2023-04-20,347388.73,2692,74.49
North,2023-01-31,430669.32,4865,69.56
South,2023-01-29,465476.81,3763,5.21
East,2023-01-28,250859.54,2308,85.85
West,2023-06-01,481042.72,2187,35.45
North,2023-03-11,142794.12,2141,97.36
South,2023-11-15,255106.0,1219,8.38
East,2023-12-06,474801.38,4381,76.36
West,2023-04-19,106837.16,3896,64.76
North,2023-12-15,448934.35,4983,75.89
South,2023-06-30,110084.87,1370,54.21
East,2023-08-06,451590.28,2919,85.1
West,2023-12-25,499240.08,3169,62.98
North,2023-06-09,107232.96,2449,60.93
South,2023-09-19,114349.35,2079,12.25
East,2023-11-07,355904.06,3589,7.43
West,2023-05-02,497970.09,1686,41.28
North,2023-07-22,223752.37,1779,92.59
South,2023-01-21,351376.51,4191,9.84
East,2023-10-09,120815.31,1680,36.5
West,2023-12-11,420280.84,3215,24.92
North,2023-06-22,109731.39,4838,47.2
South,2023-11-10,224281.62,4553,46.85
East,2023-06-26,385521.78,4218,26.31
West,2023-01-25,151581.63,4027,0.19
North,2023-09-11,180986.78,1473,85.1
South,2023-04-17,496709.92,4705,47.06
East,2023-10-07,414138.27,1241,3.48
West,2023-06-05,394318.4,3546,8.46
North,2023-04-17,295661.12,1070,98.84
South,2023-11-12,185657.69,3491,96.99
East,2023-01-13,355054.88,3126,86.37
West,2023-11-07,154336.15,4247,88.85
North,2023-09-11,170907.34,3241,31.74
South,2023-01-25,413481.68,1213,29.49
East,2023-04-25,398209.42,3335,3.63
West,2023-02-28,283815.0,3619,89.73
North,2023-07-04,101361.54,1325,33.43
South,2023-09-26,343494.96,4605,43.48
East,2023-07-31,448385.48,3084,52.11
West,2023-02-08,390114.15,3788,2.78
North,2023-04-06,225049.8,4077,3.33
South,2023-07-25,360563.93,1098,93.02
East,2023-05-23,436776.46,3934,96.86
West,2023-12-19,438041.47,3983,42.67
North,2023-12-23,431446.34,2818,31.08
South,2023-01-08,193415.24,3805,35.22
East,2023-01-02,340804.95,4249,89.77
West,2023-08-22,253949.08,1929,63.9
North,2023-08-26,148529.39,2692,55.98
South,2023-11-27,378999.01,2910,96.27
East,2023-09-20,403288.93,1768,67.0
West,2023-01-14,160366.47,1664,2.44
North,2023-12-11,156130.57,3580,88.6
South,2023-06-22,480156.74,1829,6.41
East,2023-09-16,383632.93,3703,65.35
West,2023-11-12,307368.53,1697,16.98
North,2023-02-07,387103.66,3751,92.45
South,2023-07-22,462923.82,4320,92.36
East,2023-07-06,154557.71,2912,28.52
West,2023-11-14,248976.95,2939,21.94
North,2023-09-23,176136.79,4910,30.3
South,2023-09-13,222397.61,4261,51.99
East,2023-05-01,280703.35,4646,32.85
West,2023-07-28,262952.19,1341,46.91
North,2023-01-15,243638.74,2147,23.61
South,2023-06-28,225990.98,3955,15.4
East,2023-12-06,157966.05,4630,73.98
West,2023-04-27,252822.76,4085,97.16
North,2023-05-29,377177.29,3069,60.12
South,2023-01-13,262041.26,4935,75.08
East,2023-04-25,404626.63,2886,1.14
West,2023-02-24,101775.15,4995,19.67
North,2023-07-22,155344.77,3288,2.21
South,2023-12-14,284110.09,3640,93.59
East,2023-04-30,249799.91,1376,59.87
West,2023-07-22,406385.33,3821,66.45
North,2023-12-03,299876.55,1687,60.34
South,2023-12-27,368399.14,3298,62.36
East,2023-11-07,115943.9,2074,37.78
West,2023-04-01,294675.56,2249,83.92
North,2023-05-09,312773.91,1036,31.43
South,2023-02-23,183768.1,1223,95.05
East,2023-05-16,135549.91,1795,82.47
West,2023-03-05,150864.47,3822,20.04
North,2023-08-21,291790.75,4365,97.84
South,2023-01-09,465100.8,4124,31.12
East,2023-05-14,119543.24,4129,8.01
West,2023-03-01,491473.2,1448,60.42
North,2023-04-17,230126.67,4266,17.23
South,2023-12-14,364212.81,2948,73.48
East,2023-01-07,222091.7,1473,6.06
West,2023-02-12,463426.36,2217,33.09
North,2023-11-17,457943.14,2598,83.29
South,2023-11-21,463721.0,4752,53.51
East,2023-05-11,236776.25,2701,54.81
West,2023-10-21,139745.96,2550,79.24
North,2023-10-15,477832.96,4679,13.73
South,2023-09-11,196055.46,1845,66.39
East,2023-08-20,434280.01,3316,54.78
West,2023-07-17,475478.3,4582,8.87
North,2023-06-17,447308.22,4422,76.52
South,2023-10-30,403021.96,3454,11.7
East,2023-06-07,284726.0,3976,46.28
West,2023-02-12,382499.73,3680,51.33
North,2023-08-26,217887.82,4255,63.11
South,2023-05-12,447297.2,3768,29.06
East,2023-07-21,102051.24,4113,35.14
West,2023-03-28,372216.97,2254,40.28
North,2023-02-04,362795.02,1529,56.03
South,2023-07-18,485561.55,3416,80.82
East,2023-06-11,278482.4,4201,94.55
West,2023-07-18,314789.71,3984,22.29
North,2023-04-27,435642.99,2576,38.89
South,2023-07-18,388356.69,4593,75.75
East,2023-06-27,416599.33,2922,37.54
West,2023-08-08,198269.7,1500,31.12
North,2023-05-06,214581.47,4969,61.83
South,2023-10-10,198142.69,1802,1.83
East,2023-03-13,247525.99,4059,61.68
West,2023-07-02,369553.8,2351,12.47
North,2023-07-12,271124.12,3240,86.85
South,2023-02-28,189776.97,3664,47.72
East,2023-07-08,183842.33,3432,87.75
West,2023-01-23,157437.67,1695,15.52
North,2023-12-20,122577.68,2497,69.36
South,2023-11-04,499132.34,1904,9.93
East,2023-09-09,255004.97,2665,73.39
West,2023-10-31,116637.02,1972,52.53
North,2023-03-15,247641.02,1045,75.75
South,2023-03-14,396673.92,4080,15.45
East,2023-05-25,126034.32,1238,26.26
West,2023-10-02,484447.96,2548,44.87
North,2023-04-24,492488.97,4823,99.95
South,2023-09-07,394354.34,3275,78.11
East,2023-05-21,141848.51,1562,17.68
West,2023-08-27,244468.8,1045,24.69
North,2023-07-15,366606.41,1138,32.07
South,2023-03-17,382872.37,3078,43.51
East,2023-02-05,192709.47,1960,31.23
West,2023-05-11,221661.05,2958,17.65
North,2023-06-17,470081.86,2469,41.29
South,2023-11-13,474201.8,4576,7.63
East,2023-09-07,325325.07,3805,62.41
West,2023-08-05,304132.29,1317,11.44
North,2023-09-05,477231.37,3135,66.05
South,2023-08-03,164022.21,2863,38.17
East,2023-01-17,368678.82,3404,7.4
West,2023-05-12,404214.42,2959,26.09
North,2023-05-07,238671.55,3452,26.54
South,2023-01-20,317964.22,1079,91.87
East,2023-07-13,102055.45,3162,37.08
West,2023-03-23,380503.65,2555,77.12
North,2023-11-03,232069.12,2628,55.66
South,2023-04-21,178329.5,3963,75.35
East,2023-12-19,444188.72,2260,59.16
West,2023-03-29,362263.93,2404,54.14
North,2023-09-22,491663.78,2640,4.29
South,2023-12-26,330982.79,1413,51.29
East,2023-04-18,415542.27,2356,46.88
West,2023-03-03,369288.38,3660,61.45
North,2023-02-26,332834.43,3898,12.05
South,2023-10-05,264880.7,2243,41.36
East,2023-09-03,265106.35,1584,70.5
West,2023-07-18,496795.1,4703,95.55
North,2023-07-04,476842.03,2294,9.0
South,2023-07-26,386348.07,4139,85.81
East,2023-07-07,327833.88,4886,92.51
West,2023-04-21,401432.45,2681,68.41
North,2023-03-14,339809.7,4759,98.15
South,2023-11-20,405393.15,1936,64.38
East,2023-11-21,491332.11,2258,11.48
West,2023-12-21,226474.46,4098,88.1
North,2023-06-16,402631.18,4866,89.64
South,2023-11-04,358885.54,3863,52.36
East,2023-12-26,111589.31,1778,56.71
West,2023-11-25,483371.88,1051,37.51
North,2023-01-19,373050.04,1429,75.15
South,2023-08-20,456160.38,1415,67.18
East,2023-09-01,410078.16,4720,29.74
West,2023-09-12,261572.74,2906,90.62
North,2023-07-31,188256.5,3033,71.3
South,2023-02-05,133700.54,1416,31.71
East,2023-08-09,334887.99,4161,24.03
West,2023-01-15,486911.36,4673,8.66
North,2023-07-29,236334.69,1855,62.69
South,2023-07-31,393526.81,1502,75.44
East,2023-12-20,210396.0,3264,39.6
West,2023-06-30,382233.53,1776,1.76
North,2023-04-03,434977.92,3803,89.74
